name,node,schedule_type,network_schedule,#BQC,#QKD,#PP,solve_time,makespan,PUF_both,PUF_CPU,PUF_QPU
dataset_0_alice_NAIVE,alice,NAIVE,False,30,0,0,3.985503911972046,34410000,1.0,0.093286835222319,0.9067131647776808
dataset_0_bob_NAIVE,bob,NAIVE,False,30,0,0,6.598705768585205,43320000,1.0,0.1398891966759002,0.8601108033240997
dataset_0_alice_HEU,alice,HEU,False,30,0,0,3.60836672782898,31307000,1.0,0.1025329798447631,0.9965822340051744
dataset_0_bob_HEU,bob,HEU,False,30,0,0,5.587440729141235,43276500,1.0,0.1400298083255346,0.8609753561401684
dataset_0_alice_OPT,alice,OPT,False,30,0,0,26.67064929008484,31307000,1.0,0.10253297984476316,0.9965822340051745
dataset_0_bob_OPT,bob,OPT,False,30,0,0,None,None,None,None,None
dataset_2_alice_NAIVE,alice,NAIVE,False,0,0,30,13.73684811592102,43830000,1.0,0.13826146475017112,0.8617385352498289
dataset_2_bob_NAIVE,bob,NAIVE,False,0,0,30,13.062168836593628,43245000,1.0,0.13978494623655913,0.8602150537634409
dataset_2_alice_HEU,alice,HEU,False,0,0,30,15.894810914993286,43801000,1.0,0.13835300563914066,0.8623090797013767
dataset_2_bob_HEU,bob,HEU,False,0,0,30,9.164549827575684,43201500,1.0,0.13992569702440888,0.8610812124579008
dataset_unknown_alice_NAIVE,alice,NAIVE,False,0,10,0,8.876795053482056,30830000,1.0,0.16477457022380798,0.8352254297761921
dataset_unknown_bob_NAIVE,bob,NAIVE,False,0,10,0,7.11984395980835,30830000,1.0,0.16477457022380798,0.8352254297761921
dataset_unknown_alice_NAIVE,alice,NAIVE,False,0,10,0,8.845837831497192,30830000,1.0,0.16477457022380798,0.8352254297761921
dataset_unknown_bob_NAIVE,bob,NAIVE,False,0,10,0,7.014836072921753,30830000,1.0,0.16477457022380798,0.8352254297761921
dataset_unknown_alice_HEU,alice,HEU,False,0,20,0,42.31718993186951,52008000,1.0,0.19535456083679434,0.9902322719581603
dataset_unknown_bob_HEU,bob,HEU,False,0,20,0,30.43391990661621,52008000,1.0,0.19535456083679434,0.9902322719581603
dataset_0_alice_NAIVE,alice,NAIVE,False,18,0,0,6.3621721267700195,20646000,1.0,0.09328683522231909,0.9067131647776809
dataset_0_bob_NAIVE,bob,NAIVE,False,18,0,0,7.15810489654541,25992000,1.0,0.13988919667590027,0.8601108033240997
dataset_0_alice_OPT,alice,OPT,False,18,0,0,13.8423912525177,18827000,1.0,0.10229988845806555,0.9943166728634408
dataset_unknown_bob_OPT,bob,OPT,False,0,5,0,6.4658589363098145,13383000,1.0,0.18979302099678697,0.9620413958006426
dataset_unknown_bob_OPT,bob,OPT,False,5,0,0,31.632542848587036,7214000,1.0,0.14000554477405044,0.8608261713335181
dataset_1_alice_OPT,alice,OPT,False,0,18,0,26.66839075088501,46860000,1.0,0.19590268886043533,0.9891165172855314
dataset_1_bob_OPT,bob,OPT,False,0,18,0,27.300629138946533,46860000,1.0,0.19590268886043533,0.9891165172855314
dataset_unknown_bob_OPT,bob,OPT,False,2,0,0,11.17756724357605,2888000,1.0,0.14058171745152354,0.8601108033240997
dataset_unknown_alice_OPT,alice,OPT,False,2,0,0,4.808375120162964,2187000,1.0,0.0978509373571102,0.9510745313214449
dataset_0_alice_HEU,alice,HEU,False,18,0,0,7.466175079345703,18827000,1.0,0.10229988845806555,0.9943166728634408
dataset_0_bob_HEU,bob,HEU,False,18,0,0,10.268303155899048,25966500,1.0,0.14002657269943966,0.8609554618450697
dataset_0_alice_NAIVE,alice,NAIVE,False,18,0,0,7.957242965698242,20646000,1.0,0.09328683522231909,0.9067131647776809
dataset_0_bob_NAIVE,bob,NAIVE,False,18,0,0,10.108175039291382,25992000,1.0,0.13988919667590027,0.8601108033240997
dataset_1_alice_NAIVE,alice,NAIVE,False,0,18,0,11.091377019882202,55530000,1.0,0.16531604538087522,0.8346839546191248
dataset_1_bob_NAIVE,bob,NAIVE,False,0,18,0,10.828981876373291,55530000,1.0,0.16531604538087522,0.8346839546191248
dataset_1_alice_HEU,alice,HEU,False,0,18,0,13.447257041931152,46860000,1.0,0.19590268886043533,0.9891165172855314
dataset_1_bob_HEU,bob,HEU,False,0,18,0,12.088740110397339,46860000,1.0,0.19590268886043533,0.9891165172855314
dataset_2_alice_HEU,alice,HEU,False,0,0,18,13.262242078781128,26281000,1.0,0.13835089988965413,0.8622959552528443
dataset_2_bob_HEU,bob,HEU,False,0,0,18,9.230010271072388,25921500,1.0,0.1399224581910769,0.8610612811758579
dataset_2_alice_NAIVE,alice,NAIVE,False,0,0,18,10.993080139160156,26298000,1.0,0.13826146475017112,0.8617385352498289
dataset_2_bob_NAIVE,bob,NAIVE,False,0,0,18,9.068827152252197,25947000,1.0,0.13978494623655913,0.8602150537634409
dataset_1_alice_NAIVE,alice,NAIVE,False,0,18,0,30.992719173431396,55494000,1.0,0.16477457022380798,0.8352254297761921
dataset_1_bob_NAIVE,bob,NAIVE,False,0,18,0,25.162693738937378,55494000,1.0,0.16477457022380798,0.8352254297761921
dataset_1_alice_HEU,alice,HEU,False,0,18,0,29.57326626777649,46858000,1.0,0.19514277177856504,0.9891587349011909
dataset_1_bob_HEU,bob,HEU,False,0,18,0,37.51254987716675,46858000,1.0,0.19514277177856504,0.9891587349011909
